,msid,filename,repository,collection,idno,start_century,end_century,origplace,country,material,script,mainlang,decorated,orientation,lines,size
23,manuscript_6887,Persian_MS_390.xml,The John Rylands Library,Persian Manuscripts,Persian MS 390,18.0,19.0,India,in,chart,nasta_liq,fa,N,P,20_plus,L
110,manuscript_14603,Persian_MS_387.xml,The John Rylands Library,Persian Manuscripts,Persian MS 387,18.0,19.0,India,in,chart,nasta_liq,fa,N,P,20_plus,L
248,manuscript_7411,Persian_MS_90.xml,The John Rylands Library,Persian Manuscripts,Persian MS 90,18.0,18.0,India,in,chart,nasta_liq,fa,N,P,20_plus,L
363,manuscript_6811,Persian_MS_318.xml,The John Rylands Library,Persian Manuscripts,Persian MS 318,18.0,18.0,Benares (Varanasi),in,chart,nasta_liq,fa,N,P,20_plus,L
382,manuscript_7408,Persian_MS_898.xml,The John Rylands Library,Persian Manuscripts,Persian MS 898,19.0,19.0,,,chart,nasta_liq,fa,N,P,20_plus,L
873,manuscript_7407,Persian_MS_897.xml,The John Rylands Library,Persian Manuscripts,Persian MS 897,19.0,19.0,,,chart,nasta_liq,fa,N,P,20_plus,L
1037,manuscript_6894,Persian_MS_398.xml,The John Rylands Library,Persian Manuscripts,Persian MS 398,18.0,18.0,Jalalpore,in,chart,nasta_liq,fa,N,P,20_plus,L
1096,manuscript_14620,Persian_MS_827.xml,The John Rylands Library,Persian Manuscripts,Persian MS 827,,,India,in,chart,nasta_liq,fa,N,P,20_plus,L
1209,manuscript_14604,Persian_MS_388.xml,The John Rylands Library,Persian Manuscripts,Persian MS 388,,,Indian subcontinent,in,chart,nasta_liq,fa,N,P,20_plus,L
1222,manuscript_14610,Persian_MS_175.xml,The John Rylands Library,Persian Manuscripts,Persian MS 175,,,India,in,chart,nasta_liq,fa,N,P,20_plus,L
1232,manuscript_14609,Persian_MS_174.xml,The John Rylands Library,Persian Manuscripts,Persian MS 174,,,India,in,chart,nasta_liq,fa,N,P,20_plus,L
